State,Notes,Program Name,Plan Name,Geographic Region,Medicaid-Only Enrollment ,Dual Enrollment,Total Enrollment,Year,Location,Parent Organization
California,,Regional Model (Comprehensive MCO),California Health & Wellness/El Dorado,El Dorado County,19063,659,19722,2017,"California
(37.211164, -119.662127)",Centene Corporation
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),Senior LIFE Johnstown - H-3925,"Cambria County, Somerset County (partial)",15,181,196,2017,"Pennsylvania
(40.896694, -77.838886)",Senior LIFE
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Molina Healthcare of Florida, Inc.","Regions 1, 4, 6, 7, 8, 9, and 11",334585,11611,346196,2017,"Florida
(28.260731, -82.420978)","Molina Healthcare of Florida, Inc."
Wisconsin,,SSI Managed Care (Comprehensive MCO),Independent Care (iCare),"Counties: Adams, Brown, Dane, Dodge, Door, Fond Du Lac, Grant, Green, Jackson, Jefferson, Juneau, Kenosha, Kewaunee, La Crosse, Manitowoc, Marinette, Milwaukee, Monroe, Oconto, Outagamie, Ozaukee, Racine, Rock, Sheboygan, Trempealeau, Vernon, Walworth, Washington, Waukesha, Waupaca, Winnebago",4315,3652,7967,2017,"Wisconsin
(44.639954, -89.732969)",Independent Care (iCare)
Florida,,Long-term Care Program (MLTSS only (PIHP and/or PAHP)),"Coventry Healthcare of FL, Inc.","Regions 6, 7, 9, and 11",394,4612,5006,2017,"Florida
(28.260731, -82.420978)",Aetna
Virginia,,Medallion 3.0 (Comprehensive MCO),InTotal,"State Defined Regions of Northern Virginia, Far Southwest,  and Lower Southwest",55718,0,55718,2017,"Virginia
(37.510861, -78.666382)",UnitedHealthCare
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Bridgeway Health Solution (MLTSS),"Cochise, Gila, Graham, Greenlee, Maricopa & Pinal Counties",751,4302,5053,2017,"Arizona
(34.293239, -111.664616)",Centene Corporation
Colorado,"Colorado reported plan level enrollment as 30 for plans that had less than 30 beneficiaires. As a result, plan level enrollment for the Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE plan and the Volunteers of America (VOANS) PACE DBA Senior Community Care plan may be slightly inflated.",Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Volunteers of America (VOANS) PACE DBA Senior Community Care,Delta and Montrose Counties,30,284,307,2017,"Colorado
(38.998552, -105.547832)",Volunteers of America (VOANS) PACE DBA Senior Community Care
Georgia,,Georgia Families (Comprehensive MCO),WellCare of Georgia,Statewide,426278,0,426278,2017,"Georgia
(32.638481, -83.426574)",WellCare
Kansas,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Via Christi,Sedgwick County,265,0,265,2017,"Kansas
(38.484729, -98.38018)",Ascension
New Hampshire,,New Hampshire Health Protection Program Medicaid Care Management ABP (Comprehensive MCO),Well Sense,Statewide,3633,0,3633,2017,"New Hampshire
(43.680429, -71.57139)",Boston Medical Center Health Plan
Illinois,,Family Health Plan/Affordable Care Act (Comprehensive MCO + MLTSS),NextLevel Health Partners,Cook County,50586,0,50586,2017,"Illinois
(40.124144, -89.148632)",NextLevel Health Partners
Texas,,STAR+PLUS (Comprehensive MCO + MLTSS),Cigna - HealthSpring,"Hidalgo SDA, MRSA Northeast, Tarrant SDA",50149,1275,51424,2017,"Texas
(31.447238, -99.317341)",Cigna - HealthSpring
North Carolina,,1915(b)/(c) Medicaid Waiver for MH/DD/SA Services (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Sandhills Center for MH/DD/SA,"Counties: Anson, Guilford, Harnett, Hoke, Lee, Montgomery, Moore, Randolph, Richmond",170034,20307,190341,2017,"North Carolina
(35.52603, -79.130883)",Sandhills Center for MH/DD/SA
Colorado,,Accountable Care Collaborative (Primary Care Case Management Entity (PCCM Entity)),RCCO 7: Community Health Partnerships,"El Paso, Elbert, Park and Teller Counties",171424,7732,179156,2017,"Colorado
(38.998552, -105.547832)",Community Health Partnerships
Hawaii,"Beneficiaries can simultaneously enroll in Ohana Community Care Service (BHS) and another medical or dental plan under the Quest program. The de-duplicated total enrollment comprehensive MCOs is 360,905.",Hawaii QUEST Integration (Comprehensive MCO + MLTSS),Kaiser Permanente QUEST,Oahu and Maui,29132,19,29151,2017,"Hawaii
(21.361013, -157.854309)",Kaiser Permanente
New Jersey,,NJ FamilyCare (Comprehensive MCO + MLTSS),Aetna Better Health NJ,"Atlantic, Bergen, Burlington, Camden, Cumberland, Essex, Gloucester, Hudson, Mercer, Middlesex, Morris, Passaic, Salem, Somerset, Sussex, Union counties",31253,3379,34632,2017,"New Jersey
(40.110253, -74.655514)",Aetna
Texas,,STAR Kids (Comprehensive MCO + MLTSS),Superior HealthPlan,"Bexar SDA, El Paso SDA, Hidalgo SDA, Lubbock SDA, MRSA West SDA, Travis SDA, Nueces SDA",29157,0,29157,2017,"Texas
(31.447238, -99.317341)",Superior HealthPlan
Florida,,Long-term Care Program (MLTSS only (PIHP and/or PAHP)),"Sunshine State Health Plan, Inc.","Regions 1, 3,4, 5, 6, 7, 8, 9, 10, and 11",3180,38309,41489,2017,"Florida
(28.260731, -82.420978)",Centene
Maryland,,HealthChoice (Comprehensive MCO),Priority Partners,Statewide,291830,0,291830,2017,"Maryland
(38.946466, -76.687282)",John's Hopkins Health Care
Texas,,STAR (Comprehensive MCO),Aetna,"Bexar SDA, Tarrant SDA",72673,0,72673,2017,"Texas
(31.447238, -99.317341)","Aetna, Inc."
Hawaii,"Beneficiaries can simultaneously enroll in Ohana Community Care Service (BHS) and another medical or dental plan under the Quest program. The de-duplicated total enrollment comprehensive MCOs is 360,905.",Hawaii QUEST Integration (Comprehensive MCO + MLTSS),Ohana ABD,Statewide,7344,12157,19501,2017,"Hawaii
(21.361013, -157.854309)",Wellcare Inc.
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Coventry Healthcare of FL, Inc.",Region 11,54967,2221,57188,2017,"Florida
(28.260731, -82.420978)",Aetna
Minnesota,,Minnesota Senior Health Option (MSHO) (Comprehensive MCO + MLTSS),UCare,Statewide,0,11586,11586,2017,"Minnesota
(46.349153, -94.198308)",UCare of Minnesota
Missouri,,MO Healthnet Managed Care/1915b (Comprehensive MCO),Missouri Care Eastern,"Franklin, Jefferson, Lincoln, Madison, Perry, Pike, St Charles, St Francois, Ste Genevieve, St Louis Co, Warren, Washington, and St Louis City",83730,0,83730,2017,"Missouri
(38.3675, -92.477244)",WellCare Health Plans
Florida,,Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),Florida PACE Center,Miami-Dade County,599,84,683,2017,"Florida
(28.260731, -82.420978)",Miami Jewish Health
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),CalOptima PACE/Orange,Orange County,90,124,214,2017,"California
(37.211164, -119.662127)",CalOptima
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Compcare,"Counties: Adams, Ashland, Barron, Bayfield, Burnett, Chippewa, Columbia, Crawford, Douglas, Dunn, Eau Claire, Grant, Green, Iowa, Jackson, Juneau, La Crosse, Lafayette, Lincoln, Marathon, Monroe, Pepin, Pierce, Price, Rusk, St. Croix, Sawyer, Trempealeau, Vernon, Washburn",20417,25,20442,2017,"Wisconsin
(44.639954, -89.732969)",Compcare
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),"Capitol Dental Care, Inc.","Benton, Clackamas, Clatsop, Columbia, Hood River, Jackson, Josephine, Klamath, Lane, Lincoln, Linn, Marion, Multnomah, Polk, Umatilla, Wasco, Washington, and Yamhill Counties",12102,986,13088,2017,"Oregon
(43.940449, -120.605279)",HealthShare of Oregon
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Partnership HealthPlan of CA/Marin,Marin County,34288,5294,39582,2017,"California
(37.211164, -119.662127)",Partnership HealthPlan of California
Minnesota,,Minnesota Senior Care Plus (MSC+) (Comprehensive MCO + MLTSS),HealthPartners,Statewide,281,1800,2081,2017,"Minnesota
(46.349153, -94.198308)","HealthPartners, Inc."
Ohio,,MyCare Ohio Opt-out (Comprehensive MCO + MLTSS),Molina,"Central, Southwest, West Central Regions",0,8299,8299,2017,"Ohio
(40.415534, -82.70936)",Molina
Illinois,,Illinois Health Connect Primary Care Case Management (Primary Care Case Management (PCCM)),Illinois Health Connect,"Jo Daviess, Stephenson, Carroll, Ogle, DeKalb, Whiteside, Lee, Kendall, Grundy, LaSalle, Putnam, Bureau, Marshall, Livingston, Woodford, Iroquois, Warren, Henderson, Hancock, McDonough, Fulton, Schuyler, Mason, Cass, Brown, Adams, Pike, Scott, Morgan, Calhoun, Greene, Jersey, Macoupin, Montgomery, Bond, Fayette, Shelby, Moultrie, Douglas, Edgar, Coles, Clark, Cumberland, Crawford, Jasper, Effingham, Marion, Clay, Richland, Lawrence, Wabash, Edwards, Wayne, Jefferson, Washington, Monroe, Randolph, Perry, Franklin, Hamilton, White, Gallatin, Saline, Williamson, Jackson, Union, Johnson, Pope, Hardin, Alexander, Pulaski and Massac counties",320335,0,320335,2017,"Illinois
(40.124144, -89.148632)",Illinois Health Connect
Iowa,,PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE,"Available in these counties: Harrison, Mills, Pottawattamie, Cherokee, Monona, Plymouth, Woodbury, Boone, Dallas, Jasper, Marshall, Madison, Marion, Polk, Story, Warren.",24,328,352,2017,"Iowa
(42.074659, -93.500061)",PACE
Texas,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Silver Star Health Network (Lubbock),"79401, 79402, 79403, 79404, 79405, 79406, 79407, 79408, 79409, 79410, 79411, 79412, 79413, 79414, 79415, 79416, 79423, 79424, 79430, 79452, 79453, 79454, 79464, 79490, 79491, 79493, 79499",14,169,183,2017,"Texas
(31.447238, -99.317341)",Silver Star Health Network (Lubbock)
Massachusetts,,Senior Care Options (Comprehensive MCO + MLTSS),United Healthcare,"Bristol, Essex, Hampden, Middlesex, Norfolk, Plymouth, Suffolk and Worcester Counties",1872,16344,18216,2017,"Massachusetts
(42.151077, -71.481104)",United Healthcare
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Magellan Complete Care, LLC.","Regions 2, 4, 5, 6, 7, 9, 10, and 11",57008,8321,65329,2017,"Florida
(28.260731, -82.420978)",Magellan
Rhode Island,,Rhody Health Partners Expansion (Comprehensive MCO),Neighborhood Health Plan of Rhode Island,Statewide,42771,0,42771,2017,"Rhode Island
(41.572574, -71.534637)",Neighborhood Health Plan of Rhode Island
Texas,,Medical Transportation Program (Non-Emergency Medical Transportation),Project Armistad,"Andrews, Borden, Brewster, Crane, Culberson, Dawson, Ector, El Paso, Gaines, Glasscock, Howard, Hudspeth, Jeff Davis, Loving, Martin, Midland, Pecos, Presidio, Reeves, Terrell, Upton, Ward, Winkler",204815,26957,231772,2017,"Texas
(31.447238, -99.317341)",Project Armistad
Colorado,,Colorado Medicaid Community Behavioral Health Services Program (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Behavioral Healthcare Inc.,"Adams, Arapahoe and Douglas Counties",304430,15673,320103,2017,"Colorado
(38.998552, -105.547832)",Behavioral Healthcare Inc.
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Dean Health Plan,"Counties: Columbia, Dane, Dodge, Grant, Iowa, Jefferson, Rock, Sauk",40406,37,40443,2017,"Wisconsin
(44.639954, -89.732969)",Dean Health Plan
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),HealthPlus,"New York City & Nassau, Putnam counties",355615,0,355615,2017,"New York
(42.921241, -75.59655)",Anthem
Oklahoma,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Cherokee Elder Care (CEC),"74464, 74441, 74423, 74960, 74427, 74465, 74403, 74457, 74451, 74352, 74434, 74401, 74471, 74364, 74347, 74402, 74444, 74368, 74964, 74446, 74452, 74359, 74965, 74439",13,145,158,2017,"Oklahoma
(35.583449, -97.508297)",Cherokee Elder Care (CEC)
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Hamaspik Choice,"Dutchess, Orange, Putnam, Rockland, Sullivan, Ulster counties",163,1876,2039,2017,"New York
(42.921241, -75.59655)",Hamaspik Choice
Texas,,STAR (Comprehensive MCO),Molina Healthcare of Texas,"Dallas SDA, El Paso SDA, Harris SDA, Hidalgo SDA, Jefferson SDA",97827,0,97827,2017,"Texas
(31.447238, -99.317341)",Molina Healthcare of Texas
New Jersey,,NJ FamilyCare (Comprehensive MCO + MLTSS),WellCare of New Jersey,"Bergen, Essex, Hudson, Mercer, Middlesex, Morris,  Passaic, Somerset, Sussex and Union counties",49028,11380,60408,2017,"New Jersey
(40.110253, -74.655514)",WellCare
Massachusetts,,MassHealth Managed Care (Comprehensive MCO),Boston Medical Center Health Plan,Statewide,170750,0,170750,2017,"Massachusetts
(42.151077, -71.481104)",BMC Health System
Tennessee,"Beneficiaries can simultaneously enroll in (1) Magellan Health services, (2) DentaQuest USA Insurance Company, and (3) another comprehensive MCO. The de-duplicated total enrollment in comprehensive MCOs is 1,409,266.",TennCare II (Comprehensive MCO + MLTSS),Volunteer State Health Plan (BlueCare),Statewide,454748,52412,507160,2017,"Tennessee
(35.842998, -86.343226)",Blue Cross Blue Shield Association
Iowa,,NEMT (Non-Emergency Medical Transportation),Access2Care,Statewide,10894,920,11814,2017,"Iowa
(42.074659, -93.500061)",American Medical Response
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Health Plan of San Joaquin/Stanislaus,Stanislaus County,124490,3824,128314,2017,"California
(37.211164, -119.662127)",Health Plan of San Joaquin
New York,,Medicaid Advantage Plus (Comprehensive MCO + MLTSS),HealthFirst,New York City & Nassau County,15,4559,4574,2017,"New York
(42.921241, -75.59655)",HealthFirst
Pennsylvania,,HealthChoices - Physical Health (Comprehensive MCO),Aetna Better Health,"Southeast, Southwest, Lehigh/Capital, Northwest, Northeast",201938,679,202617,2017,"Pennsylvania
(40.896694, -77.838886)",Aetna Inc.
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",NEMT (Non-Emergency Medical Transportation),Multiple Transportation Brokers,Statewide all counties.,1824730,0,1824730,2017,"Washington
(47.411715, -120.592492)",Multiple Transportation Brokers
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Western Oregon Advanced Health,"Coos, Curry, and Douglas (97459 only) Counties",17951,1226,19177,2017,"Oregon
(43.940449, -120.605279)",Western Oregon Advanced Health
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Greene County (Commonwealth),Greene County,7967,1126,9093,2017,"Pennsylvania
(40.896694, -77.838886)",Value Behavioral Health of PA
Kentucky,,Kentucky Medicaid Managed Care (Comprehensive MCO),Humana CareSource,Statewide,138646,4114,142760,2017,"Kentucky
(37.526683, -85.290484)",Humana
Wyoming,,Wyoming PACE at Cheyenne Medical Center (Program of All-inclusive Care for the Elderly (PACE)),Cheyenne Regional Medical Center PACE,Laramie County,2,127,129,2017,"Wyoming
(42.999627, -107.55145)",Cheyenne Regional Medical Center
Utah,,Choice of Health Care Delivery (Comprehensive MCO),Healthy U,Statewide,39557,5795,45352,2017,"Utah
(39.323779, -111.678222)",University of Utah Health Plans
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Trillium Community Health Plan,"Benton (97448, 97456 only), Douglas (97424, 97493, 97436, 97441, 97467, 97473 only), Lane, and Linn (97446 only) Counties",82142,4310,86452,2017,"Oregon
(43.940449, -120.605279)",Trillium Community Health Plan
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Maricopa Integrated Care,Maricopa County,13307,7739,21046,2017,"Arizona
(34.293239, -111.664616)",Mercy Care Plan/Maricopa Integrated Health Systems(MIHS)
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),VNS Choice,NYC & 27 counties,959,11870,12829,2017,"New York
(42.921241, -75.59655)",VNS Choice
